province,zone,ea,Id_hh,hh_size,hh_size_male,hh_size_female,ag_area,nb_cow,nb_buffalo,nb_donkeys,nb_sheep,nb_goat,nb_pig,nb_chicken,nb_duck,TLUs
1,1,51,"6,505",8,3,5,0.18,5,3,0,10,1,0,2,0,5.12
1,1,51,"6,476",5,2,3,0.14,0,0,0,0,4,0,0,0,0.4
1,1,51,"6,552",3,2,1,0.15,1,1,0,0,0,0,2,0,1.02
1,1,51,"6,560",1,1,0,1.27,0,0,0,0,0,0,0,0,0
1,1,51,"6,475",3,1,2,0.25,4,0,0,0,0,1,3,0,2.23
1,1,51,"6,561",1,1,0,0.1,0,0,0,0,0,0,0,0,0
1,1,51,"6,541",4,3,1,0,0,0,0,0,5,0,0,0,0.5
1,1,51,"6,530",4,2,2,1.03,2,2,0,0,1,0,0,0,2.1
1,1,51,"6,467",5,3,2,0,0,1,0,0,0,0,0,0,0.5
1,1,51,"6,513",5,3,2,0.71,2,2,0,0,0,0,7,0,2.07
1,1,51,"6,555",9,5,4,0.56,2,2,0,0,2,1,6,0,2.46
1,1,51,"6,477",4,3,1,0.17,0,1,0,0,5,0,5,0,1.05
1,1,51,"6,474",6,3,3,0.03,0,0,0,0,0,0,0,0,0
1,1,51,"6,496",2,1,1,0.42,3,1,0,0,0,1,5,0,2.25
1,1,51,"6,511",3,2,1,1.02,2,0,0,0,0,1,0,0,1.2
1,1,51,"6,540",4,3,1,0,1,0,0,0,0,0,0,0,0.5
1,1,51,"6,469",5,3,2,0.58,0,0,0,0,3,0,0,0,0.3
1,1,51,"6,489",2,1,1,0.68,2,0,0,0,0,0,0,0,1
1,1,51,"6,481",2,1,1,0.68,2,4,0,0,6,0,20,0,3.8
1,1,51,"6,520",9,5,4,0.36,4,1,0,0,10,1,20,0,3.9
1,1,51,"6,486",4,3,1,0.24,0,0,0,0,0,0,0,0,0
1,1,51,"6,532",9,3,6,0.68,2,2,0,0,3,0,0,0,2.3
1,1,51,"6,482",6,5,1,0.14,4,0,0,8,3,1,5,0,3.35
1,1,51,"6,522",3,1,2,0.68,0,0,0,0,1,0,0,0,0.1
1,1,51,"6,472",6,4,2,0.11,8,0,0,0,18,0,12,0,5.92
1,1,51,"6,537",6,4,2,0.81,2,0,0,0,2,0,0,0,1.2
1,1,51,"6,549",5,3,2,1.35,5,0,0,0,0,0,0,0,2.5
1,1,51,"6,495",3,1,2,0.17,0,2,0,0,4,0,0,0,1.4
1,1,51,"6,551",4,2,2,0,0,1,0,0,2,0,0,0,0.7
1,1,51,"6,490",4,2,2,0.81,0,2,0,0,5,0,7,0,1.57
1,1,51,"6,514",4,2,2,0.51,3,0,0,0,3,0,8,0,1.88
1,1,51,"6,543",5,2,3,0.58,3,0,0,0,4,0,2,0,1.92
1,1,51,"6,525",4,1,3,0.16,0,1,0,0,1,0,3,0,0.63
1,1,51,"6,512",5,3,2,0.1,0,0,0,0,0,0,0,0,0
1,1,51,"6,518",9,4,5,0.36,3,5,0,0,12,0,4,0,5.24
1,1,51,"6,500",5,2,3,1.35,0,0,0,0,1,0,12,2,0.28
1,1,51,"6,504",6,4,2,0.61,4,2,0,0,5,0,7,0,3.57
1,1,51,"6,478",2,1,1,0.17,0,0,0,0,0,0,0,0,0
1,1,51,"6,533",6,3,3,1.35,1,1,0,0,2,0,0,0,1.2
1,1,51,"6,515",7,4,3,0.34,2,0,0,0,0,0,3,0,1.03
1,1,51,"6,497",12,6,6,0.41,0,0,0,0,0,0,0,0,0
1,1,51,"6,539",7,4,3,0,5,1,0,0,8,3,10,0,4.5
1,1,51,"6,547",4,1,3,0.46,5,8,0,0,7,0,3,0,7.23
1,1,51,"6,524",1,0,1,0.25,0,0,0,0,0,1,7,0,0.27
1,1,51,"6,509",12,4,8,1.42,0,0,0,0,9,4,10,0,1.8
1,1,51,"6,501",10,5,5,0,4,2,0,10,12,0,20,0,5.4
1,1,51,"6,491",2,1,1,0.76,0,1,0,0,1,0,3,0,0.63
1,1,51,"6,503",5,3,2,0.14,1,2,0,0,4,0,0,0,1.9
1,1,51,"6,483",9,5,4,0.68,0,1,0,0,3,0,20,0,1
1,1,51,"6,480",3,2,1,0.2,0,0,0,0,1,0,7,0,0.17
1,1,51,"6,534",4,2,2,0.34,0,2,0,0,0,0,6,0,1.06
1,1,51,"6,507",4,2,2,0.85,5,0,0,0,2,0,0,0,2.7
1,1,51,"6,498",5,2,3,0.34,3,0,0,0,9,0,13,0,2.53
1,1,51,"6,538",3,2,1,0,1,0,0,0,0,0,2,1,0.55
1,1,51,"6,559",5,3,2,0.25,3,0,0,0,4,0,10,0,2
1,1,51,"6,542",4,2,2,0,2,0,0,0,0,0,0,0,1
1,1,51,"6,479",6,3,3,0.15,2,5,0,12,5,0,2,0,5.22
1,1,51,"6,468",7,4,3,0.61,2,0,0,0,6,0,0,0,1.6
1,1,62,"7,787",3,2,1,0.17,0,0,0,0,0,0,0,0,0
1,1,62,"7,829",8,3,5,0.34,0,0,0,0,1,0,0,0,0.1
1,1,62,"7,870",3,1,2,0.2,0,0,0,0,0,0,0,0,0
1,1,62,"7,810",4,2,2,0.1,0,0,0,0,3,0,10,0,0.4
1,1,62,"7,808",6,2,4,0.3,0,5,0,0,6,0,0,25,3.85
1,1,62,"7,837",7,3,4,0.46,1,2,0,0,12,0,0,0,2.7
1,1,62,"7,769",6,3,3,0.41,10,3,0,0,10,0,5,0,7.55
1,1,62,"7,744",7,4,3,0.41,5,0,0,0,0,0,10,0,2.6
1,1,62,"7,785",4,3,1,0,5,4,0,0,10,0,2,0,5.52
1,1,62,"7,838",9,5,4,3.05,2,0,0,0,0,0,0,0,1
1,1,62,"7,839",6,4,2,1.35,4,3,0,0,13,0,9,4,5.01
1,1,62,"7,771",2,1,1,0.25,1,0,0,0,5,0,4,0,1.04
1,1,62,"7,755",5,3,2,0,7,0,0,10,0,0,12,0,4.62
1,1,62,"7,765",14,6,8,1.35,2,0,0,0,2,0,0,0,1.2
1,1,62,"7,811",5,3,2,0.76,9,1,0,0,10,0,3,0,6.03
1,1,62,"7,893",9,3,6,0.56,4,5,0,0,3,0,0,0,4.8
1,1,62,"7,891",3,2,1,0.25,0,1,0,0,4,0,7,0,0.97
1,1,62,"7,863",6,3,3,0.16,0,2,0,0,4,1,12,0,1.72
1,1,62,"7,902",4,2,2,0.68,2,0,0,0,2,1,8,0,1.48
1,1,62,"7,886",5,2,3,0.56,2,2,0,0,10,0,0,0,3
1,1,62,"7,877",4,2,2,2.71,1,1,0,0,2,0,0,0,1.2
1,1,62,"7,903",7,4,3,0.51,0,0,0,0,0,0,0,2,0.06
1,1,62,"7,869",6,2,4,0.07,1,2,0,0,4,0,0,0,1.9
1,1,62,"7,905",6,3,3,0.17,0,0,0,0,0,0,0,0,0
1,1,62,"7,904",4,3,1,0.06,0,1,0,0,1,0,3,0,0.63
1,1,62,"7,789",4,1,3,0.31,0,1,0,0,8,0,4,0,1.34
1,1,62,"7,849",2,1,1,0.1,0,2,0,0,1,0,4,0,1.14
1,1,62,"7,901",3,0,3,0.65,0,4,0,0,3,0,6,0,2.36
1,1,62,"7,805",4,2,2,0,2,3,0,0,2,0,0,0,2.7
1,1,62,"7,812",5,3,2,0.49,0,1,0,0,18,0,10,0,2.4
1,1,62,"7,748",5,2,3,0.67,0,2,0,0,2,0,0,0,1.2
1,1,62,"7,840",5,3,2,0,1,9,0,0,0,0,10,0,5.1
1,1,62,"7,815",8,3,5,0.25,0,2,0,0,9,0,0,0,1.9
1,1,62,"7,764",3,0,3,0.1,0,0,0,0,3,0,3,0,0.33
1,1,62,"7,874",6,4,2,0.25,1,0,0,0,2,1,4,2,1
1,1,62,"7,747",3,1,2,0.34,0,2,0,0,6,0,0,0,1.6
1,1,62,"7,753",4,2,2,0.21,0,2,0,0,0,0,10,0,1.1
1,1,62,"7,766",6,2,4,0.17,0,0,0,0,0,0,0,0,0
1,1,62,"7,845",11,6,5,0,1,0,0,0,4,0,0,0,0.9
1,1,62,"7,854",4,2,2,0.41,0,3,0,0,6,0,29,0,2.39
1,1,62,"7,761",7,4,3,0.08,22,0,0,0,0,0,0,0,11
1,1,62,"7,842",6,2,4,1.35,2,1,0,0,4,0,0,0,1.9
1,1,62,"7,898",7,2,5,0.69,4,0,0,0,2,0,0,0,2.2
1,1,62,"7,895",4,2,2,0.38,2,0,0,0,4,0,5,0,1.45
1,1,62,"7,756",9,6,3,0.52,7,2,0,0,7,0,1,0,5.21
1,1,62,"7,847",17,6,11,0.25,6,5,0,0,8,1,4,0,6.54
1,1,62,"7,899",3,1,2,0.68,0,0,0,0,0,0,0,0,0
1,1,62,"7,806",2,1,1,0.14,2,0,0,0,0,0,0,0,1
1,1,62,"7,757",7,3,4,0.8,12,0,0,0,10,0,5,0,7.05
1,1,62,"7,834",15,10,5,3.72,6,0,0,2,2,2,1,0,3.81
1,1,62,"7,890",7,4,3,0.51,6,0,0,0,0,0,20,0,3.2
1,1,62,"7,882",6,2,4,0,0,3,0,0,10,0,0,0,2.5
1,1,62,"7,778",5,1,4,1.04,5,0,0,0,10,0,0,0,3.5
1,1,62,"7,779",6,4,2,1.81,3,1,0,0,8,3,17,0,3.57
1,1,62,"7,888",10,6,4,0.78,0,0,0,0,5,0,7,0,0.57
1,1,62,"7,786",4,2,2,0.05,0,0,0,0,0,0,2,0,0.02
1,1,62,"7,818",5,3,2,0.16,0,1,0,0,2,0,0,0,0.7
1,1,62,"7,878",3,2,1,0.17,0,0,0,0,0,0,0,0,0
1,1,62,"7,867",6,2,4,0.56,0,2,0,0,3,0,0,0,1.3
1,1,62,"7,866",3,1,2,0.14,0,0,0,0,9,0,10,0,1
1,1,62,"7,814",4,1,3,0.07,0,0,0,0,0,0,0,0,0
1,1,62,"7,876",3,1,2,0.07,0,0,0,0,0,0,0,0,0
1,1,62,"7,768",4,3,1,2.03,5,0,0,0,4,0,0,0,2.9
1,1,62,"7,868",7,2,5,1.69,3,0,0,0,1,0,3,0,1.63
1,1,62,"7,800",10,6,4,1.02,2,0,0,0,0,0,0,0,1
1,1,62,"7,843",3,1,2,0.17,0,0,0,0,0,0,0,0,0
1,1,62,"7,774",4,2,2,0.11,2,0,0,0,2,0,4,0,1.24
1,1,62,"7,831",10,5,5,0.51,4,0,0,0,4,0,0,0,2.4
1,1,62,"7,835",8,2,6,0.46,0,1,0,0,5,1,6,0,1.26
1,1,62,"7,828",4,3,1,0.03,0,0,0,0,0,0,0,0,0
1,1,62,"7,803",7,3,4,0.3,0,2,0,0,0,0,0,0,1
1,1,62,"7,855",7,3,4,0.25,6,1,0,0,15,0,6,0,5.06
1,1,62,"7,873",7,2,5,0.41,2,0,0,0,3,4,15,0,2.25
1,1,62,"7,853",2,1,1,0.03,0,0,0,0,0,0,0,0,0
1,1,62,"7,823",2,1,1,0.52,0,0,0,0,2,1,5,0,0.45
1,1,62,"7,802",6,3,3,0.32,6,0,0,0,3,0,1,0,3.31
1,1,62,"7,846",3,1,2,0.31,2,4,0,0,9,0,25,0,4.15
1,1,62,"7,804",4,3,1,1.69,0,0,0,0,0,0,0,0,0
1,1,62,"7,885",2,0,2,0.1,1,0,0,0,2,0,0,0,0.7
1,1,62,"7,760",2,1,1,0.2,0,0,0,0,14,0,0,0,1.4
1,1,62,"7,881",2,1,1,0,2,0,0,0,0,0,0,0,1
1,1,62,"7,825",11,5,6,0.69,13,2,0,0,25,0,0,0,10
1,1,62,"7,794",8,4,4,1.13,1,0,0,0,0,0,0,0,0.5
1,1,62,"7,907",2,1,1,0.17,0,1,0,0,2,0,2,0,0.72
1,1,62,"7,897",3,1,2,0.76,0,0,0,0,0,0,0,0,0
1,1,62,"7,887",4,2,2,0.41,5,0,0,0,9,0,6,0,3.46
1,1,62,"7,862",6,3,3,0.34,5,1,0,0,5,0,5,0,3.55
1,1,62,"7,780",5,3,2,0.27,0,0,0,0,0,0,0,0,0
1,1,62,"7,827",4,2,2,0.43,0,2,0,0,4,0,5,0,1.45
1,1,62,"7,752",5,3,2,0.51,3,1,0,30,0,0,0,0,5
1,1,62,"7,850",4,2,2,0.68,2,0,0,0,0,0,0,0,1
1,1,62,"7,875",7,4,3,0.39,10,3,0,0,20,0,2,0,8.52
1,1,62,"7,830",7,3,4,0,0,2,0,0,0,0,0,0,1
1,1,62,"7,776",4,2,2,0.18,1,0,0,0,1,0,0,0,0.6
1,1,62,"7,791",1,0,1,0.51,0,1,0,0,2,0,0,0,0.7
1,1,62,"7,864",5,2,3,2.03,0,0,0,0,1,0,0,0,0.1
1,1,62,"7,782",10,5,5,0.31,2,0,0,0,0,0,4,0,1.04
1,1,62,"7,883",5,3,2,0.62,3,3,0,0,10,0,0,0,4
1,1,62,"7,861",11,6,5,0.34,2,0,0,0,10,0,0,0,2
1,1,62,"7,770",5,3,2,1.63,0,2,0,0,8,0,6,0,1.86
1,1,62,"7,900",3,2,1,0.04,0,0,0,0,6,0,6,0,0.66
1,1,62,"7,762",5,2,3,0.68,0,1,0,0,0,0,0,0,0.5
1,1,62,"7,860",7,4,3,0,0,2,0,0,3,2,10,0,1.8
1,1,62,"7,763",4,2,2,0.29,3,0,0,0,1,0,0,0,1.6
1,1,62,"7,852",4,3,1,0.27,2,2,0,0,6,0,4,0,2.64
1,1,62,"7,822",5,3,2,0.14,0,1,0,0,1,0,0,0,0.6
1,1,62,"7,799",6,2,4,0.56,4,0,0,0,3,0,15,0,2.45
1,1,62,"7,871",5,3,2,0.25,0,0,0,0,0,0,0,0,0
1,1,62,"7,793",4,3,1,0.01,0,0,0,0,0,0,0,0,0
1,1,62,"7,767",8,2,6,0.46,3,1,0,0,5,10,15,0,4.65
1,1,62,"7,865",6,3,3,0.24,2,0,0,0,0,0,0,0,1
1,1,62,"7,816",11,6,5,1.69,2,0,0,0,3,0,0,0,1.3
1,1,62,"7,775",9,4,5,2.03,0,2,0,0,0,0,0,0,1
1,1,62,"7,788",4,3,1,0.13,2,0,0,0,4,0,4,0,1.44
1,1,62,"7,749",12,6,6,1.69,0,0,0,0,0,0,0,0,0
1,1,62,"7,856",9,6,3,1.69,4,0,0,0,0,0,0,0,2
1,1,62,"7,858",3,1,2,0.2,1,1,0,0,0,1,2,0,1.22
1,1,62,"7,832",9,3,6,1.02,4,2,0,0,4,0,5,12,3.81
1,1,62,"7,795",5,3,2,0,2,0,0,0,0,0,0,0,1
1,1,62,"7,836",7,3,4,0.61,0,0,0,0,0,0,0,0,0
1,1,62,"7,792",2,1,1,0.17,2,0,0,0,2,0,0,0,1.2
1,1,62,"7,758",8,5,3,0.68,2,1,0,0,12,0,1,0,2.71
1,1,62,"7,809",4,1,3,0.26,3,3,0,0,0,0,5,0,3.05
1,1,62,"7,746",5,2,3,0.58,6,0,0,0,21,0,12,0,5.22
1,1,62,"7,773",5,2,3,0.68,0,0,0,0,0,0,0,0,0
1,1,62,"7,857",5,2,3,0.51,0,3,0,0,8,0,5,0,2.35
1,1,62,"7,801",4,1,3,0.61,1,2,0,0,5,0,9,0,2.09
1,1,62,"7,772",3,2,1,0.53,1,2,0,0,6,0,7,0,2.17
1,1,62,"7,759",8,5,3,1.93,2,2,0,0,6,0,12,0,2.72
1,1,62,"7,859",3,1,2,0.25,0,0,0,2,1,0,10,0,0.4
1,1,62,"7,894",5,2,3,0.34,4,0,0,0,1,0,0,0,2.1
1,1,62,"7,841",2,1,1,0.68,0,0,0,0,4,0,0,0,0.4
1,1,62,"7,889",2,1,1,0.31,0,0,0,0,8,0,4,0,0.84
1,1,62,"7,880",3,2,1,0.34,2,1,0,0,4,3,6,0,2.56
1,1,62,"7,784",5,2,3,0.46,2,2,0,0,3,1,8,0,2.58
1,1,62,"7,833",7,4,3,0.03,0,0,0,0,0,0,0,0,0
1,1,62,"7,754",3,2,1,2.03,2,0,0,0,10,0,0,0,2
1,1,62,"7,820",5,2,3,0.25,0,0,0,0,0,0,0,0,0
1,1,62,"7,851",8,3,5,0,2,0,1,0,0,0,0,0,1.8
1,1,62,"7,781",2,1,1,0.1,0,3,0,0,3,0,0,0,1.8
1,1,62,"7,751",4,2,2,0.17,0,0,0,0,2,0,0,0,0.2
1,1,62,"7,817",6,3,3,0.34,0,0,0,0,3,0,8,0,0.38
1,1,62,"7,796",2,0,2,0.15,0,1,0,0,0,0,0,0,0.5
1,1,62,"7,879",5,2,3,0.68,5,1,0,0,10,0,7,0,4.07
1,1,62,"7,821",2,1,1,0,1,0,0,0,0,0,0,0,0.5
1,1,62,"7,884",4,1,3,0.06,3,1,0,0,1,0,0,0,2.1
